"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Australia","AUS","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.3",
"Austria","AUT","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.3","0.3",
"Azerbaijan","AZE","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","3.5","4.1","3.7","3.7","3.7","3.6","3.4","3.3","3.1","3","2.9","2.8","2.6","2.5","2.4","2.2","2.1","2","1.9","1.8","1.7","1.7","1.6","1.6","1.6","1.6","1.6","1.6","1.5","1.5","1.5",
"Burundi","BDI","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.9","41.6","43","66.5","44.4","44.3","43.8","43.1","42.1","40.7","38.8","36.4","33.5","30.4","27.2","24.2","21.5","19.3","17.5","16.1","15.1","14.4","13.9","13.5","13.2","12.9","12.7","12.4","12.1","11.7","11.3","11",
"Belgium","BEL","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0.9","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.3",
"Benin","BEN","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3","28.3","27.3","26.4","25.6","24.7","24","23.2","22.6","21.9","21.3","20.7","20.2","19.7","19.1","18.6","18.2","17.7","17.2","16.8","16.4","15.9","15.5","15.1","14.7","14.3","13.9","13.5","13.1","12.7","12.3","11.9",
"Burkina Faso","BFA","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.9","28.5","28.1","27.7","27.3","27","26.5","26","25.5","24.9","24.2","23.5","22.7","21.9","21.1","20.3","19.5","18.7","18","17.2","16.6","16","15.5","14.9","14.4","13.9","13.4","12.9","12.5","12.1","11.7","11.3",
"Bangladesh","BGD","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6","25.6","15","14.3","13.8","13.3","12.5","11.2","9.6","8.1","7","6.3","6","6.1","6.4","6.6","6.7","6.6","6.2","5.7","5.2","4.7","4.2","3.9","3.6","3.4","3.3","3.2","3","2.9","2.6","2.4",
"Bulgaria","BGR","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","2.1","2","2","2","1.9","1.9","1.8","1.8","1.7","1.7","1.6","1.5","1.5","1.4","1.4","1.4","1.3","1.3","1.2","1.2","1.1","1.1","1","1","0.9","0.9","0.8","0.8","0.8","0.8","0.7",
"Bahrain","BHR","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","1.9","1.9","1.9","1.9","1.8","1.8","1.7","1.6","1.6","1.5","1.5","1.4","1.3","1.3","1.2","1.2","1.2","1.1","1.1","1","1","1","1","0.9","0.9","0.9","0.9",
"Bahamas, The","BHS","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","2.7","2.7","2.7","2.6","2.6","2.6","2.6","2.5","2.5","2.4","2.3","2.2","2.2","2.1","2","1.9","1.8","1.7","1.7","1.6","1.5","1.5","1.4","1.3","1.3","1.2","1.2","1.1","8.3","1","1",
"Bosnia and Herzegovina","BIH","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.3","15.4","15.2","1.1","3","1","1","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5",
"Belarus","BLR","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","2.1","2","2","1.9","1.8","1.7","1.7","1.6","1.6","1.5","1.5","1.4","1.4","1.3","1.2","1.2","1.2","1.1","1.1","1","1","0.9","0.9","0.8","0.8","0.7","0.7","0.6","0.6","0.5","0.5",
"Belize","BLZ","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.3","2.3","2.3","2.2","2.2","2.1","2.1","2","2","1.9","1.9","1.8","1.7","1.7","1.6","1.6","1.5","1.4","1.4","1.3","1.3","1.3","1.2",
"Bermuda","BMU","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4","7.1","6.7","6.4","6.1","5.8","5.6","5.3","5.1","4.9","4.7","4.5","4.3","4.2","4","3.8","3.7","3.5","3.4","3.2","3.1","2.9","2.8","2.7","2.6","2.5","2.4","2.3","2.2","2.2","2.1","2",
"Brazil","BRA","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1.9","1.8","1.8","1.8","1.7","1.7","1.6","1.6","1.6","1.5","1.5","1.5","1.4","1.4","1.4","1.4","1.4","1.3","1.3","1.3","1.3","1.2","1.2","1.2","1.1","1.1","1.1","1","1","1","0.9",
"Barbados","BRB","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","1.3","1.3","1.2","1.2","1.2","1.1","1.1","1.1","1.1","1","1","1","0.9","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5",
"Brunei Darussalam","BRN","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1.9","1.8","1.8","1.7","1.7","1.6","1.6","1.6","1.5","1.5","1.5","1.4","1.4","1.4","1.3","1.3","1.3","1.3","1.3","1.2","1.2","1.2","1.2","1.2","1.2","1.1","1.1","1.1","1.1","1.1","1.1",
"Bhutan","BTN","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4","13.9","13.4","12.9","12.6","12.2","11.7","11.3","10.9","10.4","11.2","9.6","9.1","8.7","8.2","7.7","7.2","6.7","6.2","5.7","5.2","4.8","4.3","4","3.7","3.4","3.2","3.1","2.9","2.8","2.7","2.6",
"Botswana","BWA","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6","12.2","11.8","11.3","10.9","10.5","10.1","9.7","9.3","8.9","8.6","8.2","7.9","7.5","7.3","7","7.6","6.4","6.2","6","5.7","5.5","5.4","5.2","5","4.9","4.7","4.6","4.4","4.3","4.1","4",
