Age,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,800496,787436.0,774836.0,763975.0,748210.0,726120.0,707595.0,692179.0,681368.0,666194.0,654613.0,665892.0,660590.0,656315.0,653267.0,651565.0,651229.0,652170.0,654231.0,657189.0,660799.0,664747.0,668747.0,672557.0,675940.0,678672.0,680547.0,681389.0,681112.0,679636.0,676939.0,673033.0,668005.0,661988.0,655185.0,647794.0,640053.0,632202.0,624502.0,617156.0,610334.0,604191.0,598826.0,594298.0,590620.0,587777.0,585752.0,584476.0,583850.0,583787.0,584167.0,584865.0,585741.0,586674.0,587528.0,588198.0,588575.0,588569.0,588110.0,587138.0,585622.0,583541.0,580925.0,577787.0,574182.0,570191.0,565886.0,561357.0,556714.0,552053.0,547465.0,543045.0,538865.0,534988.0,531472.0,528352.0,525636.0,523328.0,521411.0,519856.0
11,804200,800432.0,787373.0,774774.0,763914.0,748150.0,726062.0,707538.0,692124.0,681313.0,666141.0,654561.0,665839.0,660537.0,656262.0,653215.0,651513.0,651177.0,652118.0,654179.0,657136.0,660746.0,664694.0,668693.0,672503.0,675886.0,678618.0,680493.0,681334.0,681058.0,679582.0,676885.0,672979.0,667952.0,661935.0,655133.0,647742.0,640002.0,632151.0,624452.0,617107.0,610285.0,604143.0,598778.0,594250.0,590573.0,587730.0,585705.0,584429.0,583803.0,583740.0,584120.0,584818.0,585694.0,586627.0,587481.0,588151.0,588528.0,588522.0,588063.0,587091.0,585575.0,583494.0,580879.0,577741.0,574136.0,570145.0,565841.0,561312.0,556669.0,552009.0,547421.0,543002.0,538822.0,534945.0,531429.0,528310.0,525594.0,523286.0,521369.0
12,802579,804136.0,800368.0,787310.0,774712.0,763853.0,748090.0,726004.0,707481.0,692069.0,681258.0,666088.0,654509.0,665786.0,660484.0,656209.0,653163.0,651461.0,651125.0,652066.0,654127.0,657083.0,660693.0,664641.0,668639.0,672449.0,675832.0,678564.0,680439.0,681279.0,681004.0,679528.0,676831.0,672925.0,667899.0,661882.0,655081.0,647690.0,639951.0,632100.0,624402.0,617058.0,610236.0,604095.0,598730.0,594202.0,590526.0,587683.0,585658.0,584382.0,583756.0,583693.0,584073.0,584771.0,585647.0,586580.0,587434.0,588104.0,588481.0,588475.0,588016.0,587044.0,585528.0,583447.0,580833.0,577695.0,574090.0,570099.0,565796.0,561267.0,556624.0,551965.0,547377.0,542959.0,538779.0,534902.0,531386.0,528268.0,525552.0,523244.0
13,796696,802515.0,804072.0,800304.0,787247.0,774650.0,763792.0,748030.0,725946.0,707424.0,692014.0,681203.0,666035.0,654457.0,665733.0,660431.0,656156.0,653111.0,651409.0,651073.0,652014.0,654075.0,657030.0,660640.0,664588.0,668586.0,672395.0,675778.0,678510.0,680385.0,681224.0,680950.0,679474.0,676777.0,672871.0,667846.0,661829.0,655029.0,647638.0,639900.0,632049.0,624352.0,617009.0,610187.0,604047.0,598682.0,594154.0,590479.0,587636.0,585611.0,584335.0,583709.0,583646.0,584026.0,584724.0,585600.0,586533.0,587387.0,588057.0,588434.0,588428.0,587969.0,586997.0,585481.0,583400.0,580787.0,577649.0,574044.0,570053.0,565751.0,561222.0,556579.0,551921.0,547333.0,542916.0,538736.0,534859.0,531343.0,528226.0,525510.0
14,797932,796632.0,802451.0,804008.0,800240.0,787184.0,774588.0,763731.0,747970.0,725888.0,707367.0,691959.0,681148.0,665982.0,654405.0,665680.0,660378.0,656103.0,653059.0,651357.0,651021.0,651962.0,654023.0,656977.0,660587.0,664535.0,668533.0,672341.0,675724.0,678456.0,680331.0,681169.0,680896.0,679420.0,676723.0,672817.0,667793.0,661776.0,654977.0,647586.0,639849.0,631998.0,624302.0,616960.0,610138.0,603999.0,598634.0,594106.0,590432.0,587589.0,585564.0,584288.0,583662.0,583599.0,583979.0,584677.0,585553.0,586486.0,587340.0,588010.0,588387.0,588381.0,587922.0,586950.0,585434.0,583353.0,580741.0,577603.0,573998.0,570007.0,565706.0,561177.0,556534.0,551877.0,547289.0,542873.0,538693.0,534816.0,531300.0,528184.0
15,793360,797868.0,796568.0,802387.0,803944.0,800176.0,787121.0,774526.0,763670.0,747910.0,725830.0,707310.0,691904.0,681093.0,665929.0,654353.0,665627.0,660325.0,656051.0,653007.0,651305.0,650969.0,651910.0,653971.0,656924.0,660534.0,664482.0,668480.0,672287.0,675670.0,678402.0,680277.0,681114.0,680842.0,679366.0,676669.0,672763.0,667740.0,661723.0,654925.0,647534.0,639798.0,631947.0,624252.0,616911.0,610089.0,603951.0,598586.0,594058.0,590385.0,587542.0,585517.0,584241.0,583615.0,583552.0,583932.0,584630.0,585506.0,586439.0,587293.0,587963.0,588340.0,588334.0,587875.0,586903.0,585387.0,583306.0,580695.0,577557.0,573952.0,569961.0,565661.0,561132.0,556489.0,551833.0,547245.0,542830.0,538650.0,534773.0,531257.0
16,782708,793201.0,797708.0,796409.0,802226.0,803783.0,800016.0,786964.0,774371.0,763517.0,747760.0,725685.0,707168.0,691766.0,680957.0,665796.0,654222.0,665494.0,660193.0,655920.0,652876.0,651175.0,650839.0,651780.0,653840.0,656793.0,660402.0,664349.0,668346.0,672152.0,675535.0,678266.0,680141.0,680978.0,680706.0,679230.0,676534.0,672628.0,667606.0,661591.0,654794.0,647404.0,639670.0,631821.0,624127.0,616788.0,609967.0,603830.0,598466.0,593939.0,590267.0,587424.0,585400.0,584124.0,583498.0,583435.0,583815.0,584513.0,585389.0,586322.0,587175.0,587845.0,588222.0,588216.0,587757.0,586786.0,585270.0,583189.0,580579.0,577441.0,573837.0,569847.0,565548.0,561020.0,556378.0,551723.0,547136.0,542721.0,538542.0,534666.0
17,780356,782551.0,793042.0,797548.0,796250.0,802065.0,803622.0,799856.0,786807.0,774216.0,763364.0,747610.0,725540.0,707027.0,691628.0,680821.0,665663.0,654091.0,665361.0,660061.0,655789.0,652745.0,651045.0,650709.0,651650.0,653709.0,656662.0,660270.0,664216.0,668212.0,672018.0,675400.0,678130.0,680005.0,680842.0,680570.0,679094.0,676399.0,672493.0,667472.0,661459.0,654663.0,647274.0,639542.0,631695.0,624002.0,616665.0,609845.0,603709.0,598346.0,593820.0,590149.0,587306.0,585283.0,584007.0,583381.0,583318.0,583698.0,584396.0,585272.0,586205.0,587058.0,587727.0,588104.0,588098.0,587639.0,586669.0,585153.0,583072.0,580463.0,577325.0,573722.0,569733.0,565435.0,560908.0,556267.0,551613.0,547027.0,542612.0,538434.0
18,775912,780200.0,782394.0,792883.0,797388.0,796091.0,801905.0,803461.0,799696.0,786650.0,774061.0,763211.0,747460.0,725395.0,706886.0,691490.0,680685.0,665530.0,653960.0,665228.0,659929.0,655658.0,652614.0,650915.0,650579.0,651520.0,653578.0,656531.0,660138.0,664083.0,668078.0,671884.0,675265.0,677994.0,679869.0,680706.0,680434.0,678958.0,676264.0,672358.0,667338.0,661327.0,654532.0,647144.0,639414.0,631569.0,623877.0,616542.0,609723.0,603588.0,598226.0,593701.0,590031.0,587188.0,585166.0,583890.0,583264.0,583201.0,583581.0,584279.0,585155.0,586088.0,586941.0,587609.0,587986.0,587980.0,587521.0,586552.0,585036.0,582955.0,580347.0,577209.0,573607.0,569619.0,565322.0,560796.0,556156.0,551503.0,546918.0,542503.0
19,776585,775757.0,780044.0,782237.0,792724.0,797228.0,795932.0,801745.0,803300.0,799536.0,786493.0,773906.0,763058.0,747310.0,725250.0,706745.0,691352.0,680549.0,665397.0,653829.0,665095.0,659797.0,655527.0,652483.0,650785.0,650449.0,651390.0,653447.0,656400.0,660006.0,663950.0,667944.0,671750.0,675130.0,677858.0,679733.0,680570.0,680298.0,678822.0,676129.0,672223.0,667204.0,661195.0,654401.0,647015.0,639286.0,631443.0,623752.0,616419.0,609601.0,603467.0,598106.0,593582.0,589913.0,587071.0,585049.0,583773.0,583147.0,583084.0,583464.0,584162.0,585038.0,585971.0,586824.0,587491.0,587868.0,587862.0,587403.0,586435.0,584919.0,582838.0,580231.0,577094.0,573492.0,569505.0,565209.0,560684.0,556045.0,551393.0,546809.0
