Age,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,489496,478459.0,457848.0,448329.0,447371.0,438202.0,420880.0,396316.0,374033.0,353676.0,349943.0,341628.0,335296.0,329445.0,323993.0,318766.0,313987.0,309646.0,305587.0,301904.0,298649.0,295634.0,292620.0,289331.0,285765.0,281980.0,278289.0,274505.0,270730.0,267189.0,263824.0,260473.0,257067.0,253648.0,250155.0,246458.0,242713.0,239009.0,235173.0,231103.0,226889.0,222499.0,217942.0,213127.0,208339.0,203839.0,199418.0,195151.0,191225.0,187408.0,183556.0,179803.0,176323.0,173245.0,170526.0,168112.0,165692.0,163350.0,161040.0,158747.0,156474.0,154209.0,151951.0,149688.0,147434.0,145179.0,142906.0,140627.0,138336.0,136045.0,133772.0,131530.0,129312.0,127120.0,124960.0,122831.0,120715.0,118625.0,116552.0,114513.0
11,496904,489457.0,478421.0,457811.0,448293.0,447335.0,438167.0,420846.0,396284.0,374003.0,353648.0,349915.0,341601.0,335269.0,329419.0,323967.0,318740.0,313962.0,309621.0,305563.0,301880.0,298625.0,295610.0,292597.0,289308.0,285742.0,281957.0,278267.0,274483.0,270708.0,267168.0,263803.0,260452.0,257046.0,253628.0,250135.0,246438.0,242694.0,238990.0,235154.0,231085.0,226871.0,222481.0,217925.0,213110.0,208322.0,203823.0,199402.0,195135.0,191210.0,187393.0,183541.0,179789.0,176309.0,173231.0,170512.0,168099.0,165679.0,163337.0,161027.0,158734.0,156461.0,154197.0,151939.0,149676.0,147422.0,145167.0,142895.0,140616.0,138325.0,136034.0,133761.0,131519.0,129302.0,127110.0,124950.0,122821.0,120705.0,118616.0,116543.0
12,515163,496864.0,489418.0,478383.0,457774.0,448257.0,447299.0,438132.0,420812.0,396252.0,373973.0,353620.0,349887.0,341574.0,335242.0,329393.0,323941.0,318714.0,313937.0,309596.0,305539.0,301856.0,298601.0,295586.0,292574.0,289285.0,285719.0,281934.0,278245.0,274461.0,270686.0,267147.0,263782.0,260431.0,257025.0,253608.0,250115.0,246418.0,242675.0,238971.0,235135.0,231067.0,226853.0,222463.0,217908.0,213093.0,208305.0,203807.0,199386.0,195119.0,191195.0,187378.0,183526.0,179775.0,176295.0,173217.0,170498.0,168086.0,165666.0,163324.0,161014.0,158721.0,156448.0,154185.0,151927.0,149664.0,147410.0,145155.0,142884.0,140605.0,138314.0,136023.0,133750.0,131508.0,129292.0,127100.0,124940.0,122811.0,120695.0,118607.0
13,519702,515122.0,496824.0,489379.0,478345.0,457737.0,448221.0,447263.0,438097.0,420778.0,396220.0,373943.0,353592.0,349859.0,341547.0,335215.0,329367.0,323915.0,318688.0,313912.0,309571.0,305515.0,301832.0,298577.0,295562.0,292551.0,289262.0,285696.0,281911.0,278223.0,274439.0,270664.0,267126.0,263761.0,260410.0,257004.0,253588.0,250095.0,246398.0,242656.0,238952.0,235116.0,231049.0,226835.0,222445.0,217891.0,213076.0,208288.0,203791.0,199370.0,195103.0,191180.0,187363.0,183511.0,179761.0,176281.0,173203.0,170484.0,168073.0,165653.0,163311.0,161001.0,158708.0,156435.0,154173.0,151915.0,149652.0,147398.0,145143.0,142873.0,140594.0,138303.0,136012.0,133739.0,131497.0,129282.0,127090.0,124930.0,122801.0,120685.0
14,510092,519660.0,515081.0,496784.0,489340.0,478307.0,457700.0,448185.0,447227.0,438062.0,420744.0,396188.0,373913.0,353564.0,349831.0,341520.0,335188.0,329341.0,323889.0,318663.0,313887.0,309546.0,305491.0,301808.0,298553.0,295538.0,292528.0,289239.0,285673.0,281888.0,278201.0,274417.0,270642.0,267105.0,263740.0,260389.0,256983.0,253568.0,250075.0,246378.0,242637.0,238933.0,235097.0,231031.0,226817.0,222427.0,217874.0,213059.0,208271.0,203775.0,199354.0,195087.0,191165.0,187348.0,183496.0,179747.0,176267.0,173189.0,170470.0,168060.0,165640.0,163298.0,160988.0,158695.0,156422.0,154161.0,151903.0,149640.0,147386.0,145131.0,142862.0,140583.0,138292.0,136001.0,133728.0,131486.0,129272.0,127080.0,124920.0,122791.0
15,504946,510051.0,519618.0,515040.0,496744.0,489301.0,478269.0,457663.0,448149.0,447191.0,438027.0,420710.0,396156.0,373883.0,353536.0,349803.0,341493.0,335161.0,329315.0,323863.0,318638.0,313862.0,309521.0,305467.0,301784.0,298529.0,295514.0,292505.0,289216.0,285650.0,281865.0,278179.0,274395.0,270620.0,267084.0,263719.0,260368.0,256962.0,253548.0,250055.0,246358.0,242618.0,238914.0,235078.0,231013.0,226799.0,222409.0,217857.0,213042.0,208254.0,203759.0,199338.0,195071.0,191150.0,187333.0,183481.0,179733.0,176253.0,173175.0,170456.0,168047.0,165627.0,163285.0,160975.0,158682.0,156409.0,154149.0,151891.0,149628.0,147374.0,145119.0,142851.0,140572.0,138281.0,135990.0,133717.0,131475.0,129262.0,127070.0,124910.0
16,499301,504865.0,509969.0,519535.0,514958.0,496664.0,489223.0,478192.0,457590.0,448077.0,447119.0,437957.0,420643.0,396093.0,373823.0,353479.0,349747.0,341438.0,335107.0,329262.0,323811.0,318587.0,313812.0,309471.0,305418.0,301736.0,298481.0,295467.0,292458.0,289170.0,285604.0,281820.0,278134.0,274351.0,270577.0,267041.0,263677.0,260326.0,256921.0,253507.0,250015.0,246319.0,242579.0,238876.0,235040.0,230976.0,226763.0,222373.0,217822.0,213008.0,208221.0,203726.0,199306.0,195040.0,191119.0,187303.0,183452.0,179704.0,176225.0,173147.0,170429.0,168020.0,165600.0,163259.0,160949.0,158657.0,156384.0,154124.0,151867.0,149604.0,147350.0,145096.0,142828.0,140550.0,138259.0,135968.0,133696.0,131454.0,129241.0,127050.0
17,494984,499221.0,504784.0,509887.0,519452.0,514876.0,496585.0,489145.0,478115.0,457517.0,448005.0,447047.0,437887.0,420576.0,396030.0,373763.0,353422.0,349691.0,341383.0,335053.0,329209.0,323759.0,318536.0,313762.0,309421.0,305369.0,301688.0,298433.0,295420.0,292411.0,289124.0,285558.0,281775.0,278089.0,274307.0,270534.0,266998.0,263635.0,260284.0,256880.0,253466.0,249975.0,246280.0,242540.0,238838.0,235002.0,230939.0,226727.0,222337.0,217787.0,212974.0,208188.0,203693.0,199274.0,195009.0,191088.0,187273.0,183423.0,179675.0,176197.0,173119.0,170402.0,167993.0,165573.0,163233.0,160923.0,158632.0,156359.0,154099.0,151843.0,149580.0,147326.0,145073.0,142805.0,140528.0,138237.0,135946.0,133675.0,131433.0,129220.0
18,485818,494905.0,499141.0,504703.0,509805.0,519369.0,514794.0,496506.0,489067.0,478038.0,457444.0,447933.0,446975.0,437817.0,420509.0,395967.0,373703.0,353365.0,349635.0,341328.0,334999.0,329156.0,323707.0,318485.0,313712.0,309371.0,305320.0,301640.0,298385.0,295373.0,292364.0,289078.0,285512.0,281730.0,278044.0,274263.0,270491.0,266955.0,263593.0,260242.0,256839.0,253425.0,249935.0,246241.0,242501.0,238800.0,234964.0,230902.0,226691.0,222301.0,217752.0,212940.0,208155.0,203660.0,199242.0,194978.0,191057.0,187243.0,183394.0,179646.0,176169.0,173091.0,170375.0,167966.0,165546.0,163207.0,160897.0,158607.0,156334.0,154074.0,151819.0,149556.0,147302.0,145050.0,142782.0,140506.0,138215.0,135924.0,133654.0,131412.0
19,481968,485740.0,494826.0,499061.0,504622.0,509723.0,519286.0,514712.0,496427.0,488989.0,477961.0,457371.0,447861.0,446903.0,437747.0,420442.0,395904.0,373643.0,353308.0,349579.0,341273.0,334945.0,329103.0,323655.0,318434.0,313662.0,309321.0,305271.0,301592.0,298337.0,295326.0,292317.0,289032.0,285466.0,281685.0,277999.0,274219.0,270448.0,266912.0,263551.0,260200.0,256798.0,253384.0,249895.0,246202.0,242462.0,238762.0,234926.0,230865.0,226655.0,222265.0,217717.0,212906.0,208122.0,203627.0,199210.0,194947.0,191026.0,187213.0,183365.0,179617.0,176141.0,173063.0,170348.0,167939.0,165520.0,163181.0,160871.0,158582.0,156309.0,154049.0,151795.0,149532.0,147278.0,145027.0,142759.0,140484.0,138193.0,135902.0,133633.0
